Station Name,Station Latitude,Station Longitude
SMART1 I07,24.6720,121.7642
SMART1 M01,24.6822,121.7666
SMART1 M06,24.6651,121.7677
SMART1 O01,24.6922,121.7686
SMART1 O07,24.6561,121.7621
ANL-767 Reactor Plant (Bsmt),43.5900,-112.6600
ANL-768 Power Plant (Bsmt),43.5900,-112.6600
CPP-601,43.5731,-112.9339
CPP-610,43.5670,-112.9340
PBF (second bsmt),43.5539,-112.8750
TAN-719,43.8570,-112.7250
TRA-642 ETR Reactor Bldg(Bsmt),43.5881,-112.9650
TRA-670 ATR Reactor Bldg(Bsmt),43.5850,-112.9619
BOR,44.1640,-113.8700
CEM,44.0650,-113.9100
HAU,43.8940,-113.6610
Turangi Telephone Exchange,-38.9910,175.8060
APEEL 1E - Hayward,37.6230,-122.1300
Agnews State Hospital,37.3970,-121.9520
Anderson Dam (Downstream),37.1660,-121.6280
Capitola,36.9730,-121.9530
Corralitos,37.0500,-121.8030
Coyote Lake Dam (SW Abut),37.1180,-121.5500
Foster City - APEEL 1,37.5450,-122.2310
Fremont - Mission San Jose,37.5300,-121.9190
Gilroy - Gavilan Coll.,36.9730,-121.5680
Gilroy Array #1,36.9730,-121.5720
Gilroy Array #2,36.9820,-121.5560
Gilroy Array #3,36.9870,-121.5360
Gilroy Array #4,37.0010,-121.5220
Gilroy Array #6,37.0260,-121.4840
Gilroy Array #7,37.0330,-121.4340
Halls Valley,37.3380,-121.7140
Hollister City Hall,36.8500,-121.4000
Hollister Diff Array #1,36.8880,-121.4130
Hollister Diff Array #3,36.8880,-121.4130
Hollister Diff Array #4,36.8880,-121.4130
Hollister Diff Array #5,36.8880,-121.4130
Hollister Diff. Array,36.8880,-121.4130
Los Banos,37.1060,-120.8250
SF Intern. Airport,37.6220,-122.3980
"San Juan Bautista, 24 Polk St",36.8600,-121.5400
San Justo Dam (L Abut),36.8270,-121.4450
San Justo Dam (R Abut),36.8270,-121.4450
Saratoga - WVC E Wall,37.2620,-122.0090
Saratoga - WVC NE Corner,37.2620,-122.0090
Saratoga - WVC SE Corner,37.2620,-122.0090
UCSC Lick Observatory,37.0010,-122.0600
Atina,41.6220,13.8000
Garigliano-Centrale Nucleare,41.2580,13.8330
Isernia-Sant'Agapito,41.5500,14.2320
Pontecorvo,41.4990,13.6830
Roccamonfina,41.2880,13.9800
Edessa (bsmt),40.8050,22.0510
Veroia (bsmt),40.5260,22.2030
Pelekanada,37.0500,21.8500
McGee Creek - Surface,37.5500,-118.8110
SMART1 C00,24.6738,121.7646
SMART1 I01,24.6755,121.7650
SMART1 I07,24.6720,121.7642
SMART1 M01,24.6822,121.7666
SMART1 M07,24.6649,121.7620
SMART1 O01,24.6922,121.7686
SMART1 O07,24.6561,121.7621
Drama (bsmt),41.1390,24.1420
Kavala,40.9300,24.4000
Site 1,62.2020,-124.3700
Site 2,62.2340,-124.1680
Site 3,62.1260,-123.8330
Hollister Diff Array #1,36.8880,-121.4130
Hollister Diff Array #3,36.8880,-121.4130
Hollister Diff Array #4,36.8880,-121.4130
SAGO South - Surface,36.7530,-121.3950
Halls Valley,37.3380,-121.7140
SMART1 C00,24.6738,121.7646
SMART1 E01,24.6487,121.7644
SMART1 I01,24.6755,121.7650
SMART1 I07,24.6720,121.7642
SMART1 M01,24.6822,121.7666
SMART1 M07,24.6649,121.7620
SMART1 O01,24.6922,121.7686
SMART1 O07,24.6561,121.7621
Anza - Red Mountain,33.6400,-116.8600
Anza - Tule Canyon,33.4593,-116.6440
Anza Fire Station,33.5558,-116.6740
Cabazon,33.9180,-116.7820
Colton Interchange - Vault,34.0600,-117.3000
Cranston Forest Station,33.7380,-116.8380
Desert Hot Springs,33.9620,-116.5090
Fun Valley,33.9250,-116.3890
Hemet Fire Station,33.7290,-116.9790
Hesperia,34.4480,-117.3270
Hurkey Creek Park,33.6758,-116.6800
Indio,33.7470,-116.2140
Indio - Coachella Canal,33.7170,-116.1550
Joshua Tree,34.1300,-116.3140
Lake Mathews Dike Toe,33.8520,-117.4510
Landers Fire Station,34.2740,-116.3920
Morongo Valley,34.0490,-116.5780
Murrieta Hot Springs,33.5990,-117.1320
North Palm Springs,33.9240,-116.5430
Palm Springs Airport,33.8290,-116.5120
Puerta La Cruz,33.3240,-116.6830
Rancho Cucamonga - FF,34.1040,-117.5740
Riverside Airport,33.9510,-117.4460
San Jacinto - Soboba,33.7970,-116.8800
San Jacinto - Valley Cemetary,33.7600,-116.9600
Santa Rosa Mountain,33.5680,-116.5100
Silent Valley - Poppet Flat,33.8510,-116.8520
Sunnymead,33.9460,-117.1510
Temecula - 6th & Mercedes,33.4960,-117.1490
Whitewater Trout Farm,33.9900,-116.6560
Winchester Bergman Ran,33.6400,-117.0940
Winchester Page Bros R,33.7180,-117.0220
Benton,37.8180,-118.4750
Bishop - LADWP South St,37.3600,-118.3960
Bishop - Paradise Lodge,37.4810,-118.6020
Lake Crowley - Shehorn Res.,37.5610,-118.7430
Zack Brothers Ranch,37.6620,-118.3980
Benton,37.8180,-118.4750
Bishop - LADWP South St,37.3600,-118.3960
Bishop - Paradise Lodge,37.4810,-118.6020
Convict Creek,37.6140,-118.8310
Lake Crowley - Shehorn Res.,37.5610,-118.7430
Long Valley Dam (Downst),37.5880,-118.7050
Long Valley Dam (L Abut),37.5880,-118.7050
Mammoth Lakes Sheriff Subst.,37.6380,-118.8920
McGee Creek - Surface,37.5500,-118.8110
Tinemaha Res. Free Field,37.0540,-118.2290
Zack Brothers Ranch,37.6620,-118.3980
Bishop - LADWP South St,37.3600,-118.3960
Bishop - Paradise Lodge,37.4810,-118.6020
Zack Brothers Ranch,37.6620,-118.3980
Bishop - LADWP South St,37.3600,-118.3960
Zack Brothers Ranch,37.6620,-118.3980
Kalamata (bsmt),37.0300,22.1200
Kalamata (bsmt) (1st trigger),37.0300,22.1200
Kalamata (bsmt) (2nd trigger),37.0300,22.1200
Messini,37.0033,22.0000
Geotech Investig Center,13.7000,-89.1750
National Geografical Inst,13.7140,-89.1710
SMART1 C00,24.6738,121.7646
SMART1 E01,24.6487,121.7644
SMART1 E02,24.6296,121.7610
SMART1 I01,24.6755,121.7650
SMART1 I07,24.6720,121.7642
SMART1 M01,24.6822,121.7666
SMART1 M07,24.6649,121.7620
SMART1 O01,24.6922,121.7686
SMART1 O02,24.6871,121.7781
SMART1 O04,24.6703,121.7840
SMART1 O06,24.6565,121.7708
SMART1 O07,24.6561,121.7621
SMART1 O08,24.6594,121.7518
SMART1 O10,24.6778,121.7454
SMART1 O12,24.6910,121.7589
Cerro Prieto,32.4210,-115.3010
Maraenui Primary School,-37.8750,177.5850
Matahina Dam,-38.1150,176.8830
Matahina Dam,-38.1150,176.8830
Alhambra - Fremont School,34.0700,-118.1500
Altadena - Eaton Canyon,34.1770,-118.0960
Anaheim - W Ball Rd,33.8170,-117.9510
Arcadia - Campus Dr,34.1300,-118.0360
Arleta - Nordhoff Fire Sta,34.2360,-118.4390
Baldwin Park - N Holly,34.1000,-117.9740
Bell Gardens - Jaboneria,33.9650,-118.1580
Beverly Hills - 12520 Mulhol,34.1270,-118.4050
Beverly Hills - 14145 Mulhol,34.1320,-118.4390
"Big Tujunga, Angeles Nat F",34.2860,-118.2250
Brea - S Flower Av,33.9160,-117.8960
Brea Dam (Downstream),33.8900,-117.9270
Brea Dam (L Abut),33.8904,-117.9258
Burbank - N Buena Vista,34.1680,-118.3310
Calabasas - N Las Virg,34.1500,-118.6960
Canoga Park - Topanga Can,34.2120,-118.6060
Canyon Country - W Lost Cany,34.4190,-118.4260
Carbon Canyon Dam,33.9121,-117.8380
Carson - Catskill Ave,33.8120,-118.2700
Carson - Water St,33.8360,-118.2400
Castaic - Hasley Canyon,34.4590,-118.6500
Castaic - Old Ridge Route,34.5640,-118.6420
Compton - Castlegate St,33.8990,-118.1960
Covina - S Grand Ave,34.0780,-117.8710
Covina - W Badillo,34.0870,-117.9150
Downey - Birchdale,33.9200,-118.1370
